Item,Total Price,Unit Price,Date
Scroll for One-Handed Sword for ATT 10%,"444,444","222,222",2025-06-30
Scroll for One-Handed Sword for ATT 10%,"444,444","222,222",2025-06-30
Scroll for One-Handed Sword for ATT 10%,"4,830,000","230,000",2025-06-30
Scroll for One-Handed Sword for ATT 10%,"4,830,000","230,000",2025-06-30
Scroll for One-Handed Sword for ATT 10%,"190,000","190,000",2025-06-29
Scroll for One-Handed Sword for ATT 10%,"2,664,000","222,000",2025-06-29
Scroll for One-Handed Sword for ATT 10%,"2,442,000","222,000",2025-06-29
Scroll for One-Handed Sword for ATT 10%,"1,554,000","222,000",2025-06-29
Scroll for One-Handed Sword for ATT 10%,"18,434,300","222,100",2025-06-29
Scroll for One-Handed Sword for ATT 10%:,"211,111","211,111",2025-06-29
Scroll for One-Handed Sword for ATT 60%,"375,000","75,000",2025-06:30
Scroll for One-Handed Sword for ATT 60%,"375,000","75,000",2025-06:30
Scroll for One-Handed Sword for ATT 60%,"200,000","100,000",2025-06:30
Scroll for One-Handed Sword for ATT 60%,"200,000","100,000",2025-06:30
Scroll for One-Handed Sword for ATT 60%,"399,998","199,999",2025-07-15
Scroll for One-Handed Sword for ATT 60%,"344,999","344,999",2025-07-15
Scroll for One-Handed Sword for ATT 60%,"690,000","345,000",2025-07-15
Scroll for One-Handed Sword for ATT 60%,"350,000","350,000",2025-07-15
Scroll for One-Handed Sword for ATT 60%,"39,999","39,999",2025-07-12
Scroll for One-Handed Sword for ATT 60%,"220,000","110,000",2025-07-06
Scroll for One-Handed Sword for ATT 60%,"419,997","139,999",2025-07-06
Scroll for One-Handed Sword for ATT 60%,"139,999","139,999",2025-07-06
Scroll for One-Handed Sword for ATT 60%,"140,000","140,000",2025-07-06
Scroll for One-Handed Sword for ATT 60%,"144,000","144,000",2025-07-06
Scroll for One-Handed Sword for ATT 60%,"145,000","145,000",2025-07-06
Scroll for One-Handed Sword for ATT 60%,"1,333,332","222,222",2025-07-06
Scroll for One-Handed Sword for ATT 60%,"149,999","149,999",2025-07-04
Scroll for One-Handed Sword for ATT 60%,"300,000","150,000",2025-07-04
Scroll for One-Handed Sword for ATT 60%,"150,000","150,000",2025-07-04
Scroll for One-Handed Sword for ATT 60%,"50,005","50,005",2025-07-03
Scroll for One-Handed Sword for ATT 60%,"90,000","90,000",2025-06-30
Scroll for One-Handed Sword for ATT 60%,"90,000","90,000",2025-06-30
Scroll for One-Handed Sword for ATT 60%,"99,999","99,999",2025-06-30
Scroll for One-Handed Sword for ATT 60%,"99,999","99,999",2025-06-30
Scroll for One-Handed Sword for ATT 60%,"120,000","120,000",2025-06-29
Scroll for One-Handed Sword for ATT 60%,"150,000","150,000",2025-06-29
Scroll for One-Handed Sword for ATT 60%,"199,999","199,999",2025-06-29
Scroll for One-Handed Sword for ATT 60%,"220,000","220,000",2025-06-29
Scroll for One-Handed Sword for ATT 60%,"577,776","288,888",2025-06-29
Scroll for Overall Armonfor DEX 10%,"999,999","999,999",2025-07-14
Scroll for Overall Armonfor DEX 100%,"3,366,666","3,366,666",2025-07-15
Scroll for Overall Armonfor DEX 100%,"6,866,666","3,433,333",2025-07-15
Scroll for Overall Armonfor DEX 100%,"3,499,999","3,499,999",2025-07-15
Scroll for Overall Armonfor DEX 100%,"3,399,999","3,399,999",2025-07-14
Scroll for Overall Armonfor DEX 100%,"6,822,222","3,411,111",2025-07-14
Scroll for Overall Armonfor DEX 100%,"3,433,333","3,433,333",2025-07-14
Scroll for Overall Armonfor DEX 100%,"3,477,777","3,477,777",2025-07-14
Scroll for Overall Armonfor DEX 100%,"6,977,776","3,488,888",2025-07-14
Scroll for Overall Armor for -X06109,"800,000","800,000",2025-07-13
Scroll for Overall Armor for DEF 10%,"78,999","78,999",2025-07-15
Scroll for Overall Armor for DEF 10%,"24,999","24,999",2025-07-12
Scroll for Overall Armor for DEF 10%,"678,993","96,999",2025-07-05
Scroll for Overall Armor for DEF 60%,"50,000","50,000",2025-07-06
Scroll for Overall Armor for DEF 60%,"199,998","66,666",2025-07-06
Scroll for Overall Armor for DEF 60%,"111,110","55,555",2025-06-29
Scroll for Overall Armor for DEF 60%,"66,666","66,666",2025-06-29
Scroll for Overall Armor for DEX 10%,"1,797,776","898,888",2025-06:30
Scroll for Overall Armor for DEX 10%,"1,797,776","898,888",2025-06:30
Scroll for Overall Armor for DEX 10%,"499,999","499,999",2025-07-15
Scroll for Overall Armor for DEX 10%,"2,966,664","988,888",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,999,996","999,998",2025-07-15
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-15
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-15
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,000,000","1,000,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,000,000","1,000,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"20,199,980","1,009,999",2025-07-15
Scroll for Overall Armor for DEX 10%,"3,030,000","1,010,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,049,999","1,049,999",2025-07-15
Scroll for Overall Armor for DEX 10%,"2,155,554","1,077,777",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,099,999","1,099,999",2025-07-15
Scroll for Overall Armor for DEX 10%,"2,200,000","1,100,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,100,000","1,100,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,100,000","1,100,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,100,000","1,100,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"4,444,444","1,111,111",2025-07-15
Scroll for Overall Armor for DEX 10%,"2,222,222","1,111,111",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,111,111","1,111,111",2025-07-15
Scroll for Overall Armor for DEX 10%,"2,288,888","1,144,444",2025-07-15
Scroll for Overall Armor for DEX 10%,"1,150,000","1,150,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"5,890,000","1,178,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"35,400,000","1,180,000",2025-07-15
Scroll for Overall Armor for DEX 10%,"2,700,000","900,000",2025-07-14
Scroll for Overall Armor for DEX 10%,"999,998","999,998",2025-07-14
Scroll for Overall Armor for DEX 10%,"13,999,986","999,999",2025-07-14
Scroll for Overall Armor for DEX 10%,"1,999,998","999,999",2025-07-14
Scroll for Overall Armor for DEX 10%,"2,000,198","1,000,099",2025-07-14
Scroll for Overall Armor for DEX 10%,"10,999,990","1,099,999",2025-07-14
Scroll for Overall Armor for DEX 10%,"5,499,995","1,099,999",2025-07-14
Scroll for Overall Armor for DEX 10%,"5,750,000","1,150,000",2025-07-14
Scroll for Overall Armor for DEX 10%,"15,470,000","1,190,000",2025-07-14
Scroll for Overall Armor for DEX 10%,"777,777","777,777",2025-07-13
Scroll for Overall Armor for DEX 10%,"900,000","900,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"940,000","940,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"950,000","950,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"950,000","950,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"1,999,998","999,999",2025-07-13
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-13
Scroll for Overall Armor for DEX 10%,"1,000,000","1,000,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"1,000,000","1,000,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"1,000,000","1,000,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"1,025,000","1,025,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"3,240,000","1,080,000",2025-07-13
Scroll for Overall Armor for DEX 10%,"1,088,888","1,088,888",2025-07-13
Scroll for Overall Armor for DEX 10%,"6,766,662","966,666",2025-07-07
Scroll for Overall Armor for DEX 10%,"998,888","998,888",2025-07-07
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-07
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-07
Scroll for Overall Armor for DEX 10%,"1,000,000","1,000,000",2025-07-07
Scroll for Overall Armor for DEX 10%,"5,249,995","1,049,999",2025-07-07
Scroll for Overall Armor for DEX 10%,"2,100,000","1,050,000",2025-07-07
Scroll for Overall Armor for DEX 10%,"940,000","940,000",2025-07-06
Scroll for Overall Armor for DEX 10%,"940,000","940,000",2025-07-06
Scroll for Overall Armor for DEX 10%,"949,999","949,999",2025-07-06
Scroll for Overall Armor for DEX 10%,"959,999","959,999",2025-07-06
Scroll for Overall Armor for DEX 10%,"975,000","975,000",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,959,998","979,999",2025-07-06
Scroll for Overall Armor for DEX 10%,"2,940,000","980,000",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,977,776","988,888",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,977,776","988,888",2025-07-06
Scroll for Overall Armor for DEX 10%,"988,888","988,888",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,997,796","998,898",2025-07-06
Scroll for Overall Armor for DEX 10%,"998,899","998,899",2025-07-06
Scroll for Overall Armor for DEX 10%,"2,999,988","999,996",2025-07-06
Scroll for Overall Armor for DEX 10%,"3,999,988","999,997",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,999,994","999,997",2025-07-06
Scroll for Overall Armor for DEX 10%,"999,998","999,998",2025-07-06
Scroll for Overall Armor for DEX 10%,"2,999,997","999,999",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,999,998","999,999",2025-07-06
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-06
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-06
Scroll for Overall Armor for DEX 10%,"2,000,000","1,000,000",2025-07-06
Scroll for Overall Armor for DEX 10%,"4,325,032","1,081,258",2025-07-06
Scroll for Overall Armor for DEX 10%,"3,266,664","1,088,888",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,099,000","1,099,000",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,100,000","1,100,000",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,100,000","1,100,000",2025-07-06
Scroll for Overall Armor for DEX 10%,"6,666,666","1,111,111",2025-07-06
Scroll for Overall Armor for DEX 10%,"1,111,111","1,111,111",2025-07-06
Scroll for Overall Armor for DEX 10%,"5,661,635","1,132,327",2025-07-06
Scroll for Overall Armor for DEX 10%,"870,000","145,000",2025-07-05
Scroll for Overall Armor for DEX 10%,"1,999,998","999,999",2025-07-05
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-05
Scroll for Overall Armor for DEX 10%,"5,944,440","1,188,888",2025-07-05
Scroll for Overall Armor for DEX 10%,"4,755,552","1,188,888",2025-07-05
Scroll for Overall Armor for DEX 10%,"2,377,776","1,188,888",2025-07-05
Scroll for Overall Armor for DEX 10%,"1,199,999","1,199,999",2025-07-05
Scroll for Overall Armor for DEX 10%,"1,250,000","1,250,000",2025-07-05
Scroll for Overall Armor for DEX 10%,"1,250,000","1,250,000",2025-07-05
Scroll for Overall Armor for DEX 10%,"1,298,999","1,298,999",2025-07-05
Scroll for Overall Armor for DEX 10%,"1,298,999","1,298,999",2025-07-05
Scroll for Overall Armor for DEX 10%,"1,299,999","1,299,999",2025-07-05
Scroll for Overall Armor for DEX 10%,"899,999","899,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"949,998","949,998",2025-07-04
Scroll for Overall Armor for DEX 10%,"3,800,000","950,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"1,900,000","950,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"950,000","950,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"950,000","950,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"950,000","950,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"999,888","999,888",2025-07-04
Scroll for Overall Armor for DEX 10%,"999,989","999,989",2025-07-04
Scroll for Overall Armor for DEX 10%,"4,999,995","999,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"999,999","999,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"2,000,000","1,000,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"15,399,986","1,099,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"15,399,986","1,099,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"4,400,000","1,100,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"1,100,000","1,100,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"2,398,000","1,199,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"2,399,998","1,199,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"7,499,995","1,499,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"2,999,998","1,499,999",2025-07-04
Scroll for Overall Armor for DEX 10%,"15,000,000","1,500,000",2025-07-04
Scroll for Overall Armor for DEX 10%,"555,555","555,555",2025-07-03
Scroll for Overall Armor for DEX 10%,"670,000","670,000",2025-07-03
Scroll for Overall Armor for DEX 10%,"2,094,369","698,123",2025-07-03
Scroll for Overall Armor for DEX 10%,"699,999","699,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"699,999","699,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"699,999","699,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"700,000","700,000",2025-07-03
Scroll for Overall Armor for DEX 10%,"719,999","719,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"720,000","720,000",2025-07-03
Scroll for Overall Armor for DEX 10%,"749,999","749,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"1,500,000","750,000",2025-07-03
Scroll for Overall Armor for DEX 10%,"766,666","766,666",2025-07-03
Scroll for Overall Armor for DEX 10%,"788,888","788,888",2025-07-03
Scroll for Overall Armor for DEX 10%,"789,999","789,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"3,199,996","799,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"799,999","799,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"1,650,000","825,000",2025-07-03
Scroll for Overall Armor for DEX 10%,"2,489,997","829,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"829,999","829,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"829,999","829,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"833,333","833,333",2025-07-03
Scroll for Overall Armor for DEX 10%,"849,999","849,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"850,000","850,000",2025-07-03
Scroll for Overall Armor for DEX 10%,"850,000","850,000",2025-07-03
Scroll for Overall Armor for DEX 10%,"1,838,000","919,000",2025-07-03
Scroll for Overall Armor for DEX 10%,"4,944,440","988,888",2025-07-03
Scroll for Overall Armor for DEX 10%,"15,839,984","989,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"7,999,992","999,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"5,999,994","999,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"2,999,997","999,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"16,015,984","1,000,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"8,799,992","1,099,999",2025-07-03
Scroll for Overall Armor for DEX 10%,"850,000","850,000",2025-06-30
Scroll for Overall Armor for DEX 10%,"850,000","850,000",2025-06-30
Scroll for Overall Armor for DEX 10%,"850,000","850,000",2025-06-30
Scroll for Overall Armor for DEX 10%,"850,000","850,000",2025-06-30
Scroll for Overall Armor for DEX 10%,"13,499,985","899,999",2025-06-30
Scroll for Overall Armor for DEX 10%,"13,499,985","899,999",2025-06-30
Scroll for Overall Armor for DEX 10%,"1,800,000","900,000",2025-06-30
Scroll for Overall Armor for DEX 10%,"1,800,000","900,000",2025-06-30
Scroll for Overall Armor for DEX 10%,"15,470,000","910,000",2025-06-30
Scroll for Overall Armor for DEX 10%,"15,470,000","910,000",2025-06-30
Scroll for Overall Armor for DEX 10%,"500,000","500,000",2025-06-29
Scroll for Overall Armor for DEX 10%,"699,999","699,999",2025-06-29
Scroll for Overall Armor for DEX 10%,"750,000","750,000",2025-06-29
Scroll for Overall Armor for DEX 10%,"788,888","788,888",2025-06-29
Scroll for Overall Armor for DEX 10%,"800,000","800,000",2025-06-29
Scroll for Overall Armor for DEX 10%,"899,999","899,999",2025-06-29
Scroll for Overall Armor for DEX 10%,"900,000","900,000",2025-06-29
Scroll for Overall Armor for DEX 10%,"1,939,998","969,999",2025-06-29
Scroll for Overall Armor for DEX 10%,"3,899,996","974,999",2025-06-29
Scroll for Overall Armor for DEX 10%,"979,999","979,999",2025-06-29
Scroll for Overall Armor for DEX 10%,"1,977,776","988,888",2025-06-29
Scroll for Overall Armor for DEX 10%,"988,888","988,888",2025-06-29
Scroll for Overall Armor for DEX 10%,"988,888","988,888",2025-06-29
Scroll for Overall Armor for DEX 10%,"988,888","988,888",2025-06-29
Scroll for Overall Armor for DEX 10%,"2,999,997","999,999",2025-06-29
Scroll for Overall Armor for DEX 10%:,"1,000,001","1,000,001",2025-07-13
Scroll for Overall Armor for DEX 10%:,"1,099,999","1,099,999",2025-07-06
Scroll for Overall Armor for DEX 100%,"3,333,789","3,333,789",2025-07-07-
Scroll for Overall Armor for DEX 100%,"3,333,789","3,333,789",2025-07-07-
Scroll for Overall Armor for DEX 100%,"6,779,796","3,389,898",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,779,796","3,389,898",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,779,796","3,389,898",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,779,796","3,389,898",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,779,796","3,389,898",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,779,796","3,389,898",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,842,424","3,421,212",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,842,424","3,421,212",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,997,530","3,498,765",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,997,530","3,498,765",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,997,530","3,498,765",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,997,530","3,498,765",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,997,530","3,498,765",2025-06:30
Scroll for Overall Armor for DEX 100%,"6,997,530","3,498,765",2025-06:30
Scroll for Overall Armor for DEX 100%,"29,010","29,010",2025-07-15
Scroll for Overall Armor for DEX 100%,"29,010","29,010",2025-07-15
Scroll for Overall Armor for DEX 100%,"12,666,600","42,222",2025-07-15
Scroll for Overall Armor for DEX 100%,"12,666,600","42,222",2025-07-15
Scroll for Overall Armor for DEX 100%,"12,666,600","42,222",2025-07-15
Scroll for Overall Armor for DEX 100%,"12,078,970","47,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"11,888,750","47,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"997,540","49,877",2025-07-15
Scroll for Overall Armor for DEX 100%,"49,999","49,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"250,000","50,000",2025-07-15
Scroll for Overall Armor for DEX 100%,"26,666,400","66,666",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,344,444","3,344,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,701,110","3,355,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,355,555","3,355,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,355,555","3,355,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,755,554","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,755,554","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,377,777","3,377,777",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,777,776","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,388,888","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,388,888","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,388,888","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,388,888","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,388,888","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,388,888","3,388,888",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,799,998","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,799,998","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,799,998","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,799,998","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,799,998","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,399,999","3,399,999",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,411,111","3,411,111",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,411,111","3,411,111",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,866,666","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,866,666","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,866,666","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,866,666","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,866,666","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,433,333","3,433,333",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,444,444","3,444,444",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,911,110","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"3,455,555","3,455,555",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,938,332","3,466,666",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,933,332","3,466,666",2025-07-15
Scroll for Overall Armor for DEX 100%,"6,933,332","3,466,666",2025-07-15
